,date,reservoir_storage,res_percentile,total_storage,capacity,reporting,value_period,month,day,export_basin,SWDI,SWC,snow_pctl
180,2006-01-31,24425587.0,1.0,29283747.408195022,29776839.0,1.0,29283747.408195022,1,31,delta_basin,0.9666666666666668,4845261.377657396,0.6333333333333334
181,2006-02-28,23780844.0,0.9666666666666668,30205077.357766673,29776839.0,1.0,30205077.357766673,2,28,delta_basin,0.8333333333333335,6411674.812788144,0.5333333333333333
182,2006-03-31,24595803.0,0.9666666666666668,34274788.652927086,29776839.0,1.0,34274788.652927086,3,31,delta_basin,0.8333333333333335,9665996.732169744,0.6666666666666667
183,2006-04-30,25160185.0,1.0,38870752.21234043,29776839.0,1.0,38870752.21234043,4,30,delta_basin,0.9666666666666668,13697280.244266853,0.8666666666666667
184,2006-05-31,26344747.0,1.0,33969859.97854998,29776839.0,1.0,33969859.97854998,5,31,delta_basin,0.9,7611200.44919873,0.8333333333333335
185,2006-06-30,28095638.0,1.0,29275684.069740433,29776839.0,1.0,29275684.069740433,6,30,delta_basin,0.9,1165208.9035942904,0.5
186,2006-07-31,27750065.0,0.9666666666666668,27764719.67077029,29776839.0,1.0,27764719.67077029,7,31,delta_basin,0.9,,0.5
187,2006-08-31,25504604.0,0.8666666666666667,25518072.85402779,29776839.0,1.0,25518072.85402779,8,31,delta_basin,0.8666666666666667,,0.5
188,2006-09-30,23123514.0,0.8666666666666667,23135725.412287585,29776839.0,1.0,23135725.412287585,9,30,delta_basin,0.8666666666666667,,0.5
189,2006-10-31,21872254.0,0.9,21883804.628129132,29776839.0,1.0,21883804.628129132,10,31,delta_basin,0.9,,0.5
190,2006-11-30,21163371.0,0.9,21353792.29592006,29776839.0,1.0,21353792.29592006,11,30,delta_basin,0.9,179245.02536377456,0.26666666666666666
191,2006-12-31,21141105.0,0.9,22380389.447964977,29776839.0,1.0,22380389.447964977,12,31,delta_basin,0.9333333333333335,1228119.9359721178,0.3666666666666667
192,2007-01-31,21916137.0,0.9,24424114.254927006,29776839.0,1.0,24424114.254927006,1,31,delta_basin,0.7333333333333334,2496403.45240468,0.33333333333333337
193,2007-02-28,21848575.0,0.8333333333333335,25075022.709903095,29776839.0,1.0,25075022.709903095,2,28,delta_basin,0.46666666666666673,3214909.5865356335,0.2
194,2007-03-31,23044356.0,0.7666666666666667,27993148.261757635,29776839.0,1.0,27993148.261757635,3,31,delta_basin,0.5333333333333333,4936622.652414611,0.23333333333333336
195,2007-04-30,23766459.0,0.7333333333333334,26340583.932347637,29776839.0,1.0,26340583.932347637,4,30,delta_basin,0.3666666666666667,2561573.9840157786,0.13333333333333333
196,2007-05-31,23641130.0,0.5,24184059.564102445,29776839.0,1.0,24184059.564102445,5,31,delta_basin,0.4,530444.8013897188,0.16666666666666669
197,2007-06-30,22289563.0,0.33333333333333337,22301334.006928407,29776839.0,1.0,22301334.006928407,6,30,delta_basin,0.33333333333333337,,0.5
198,2007-07-31,19623104.0,0.3,19633466.863244146,29776839.0,1.0,19633466.863244146,7,31,delta_basin,0.3,,0.5
199,2007-08-31,17116494.0,0.3,17133502.079367578,29776839.0,1.0,17133502.079367578,8,31,delta_basin,0.26666666666666666,7968.944348914432,0.5
200,2007-09-30,15321167.0,0.3,15329258.03179404,29776839.0,1.0,15329258.03179404,9,30,delta_basin,0.3,,0.5
201,2007-10-31,14441524.0,0.3,14455652.072446244,29776839.0,1.0,14455652.072446244,10,31,delta_basin,0.3,6501.575728443281,0.5
202,2007-11-30,14108710.0,0.33333333333333337,14143162.168666331,29776839.0,1.0,14143162.168666331,11,30,delta_basin,0.3,27001.42936018827,0.06666666666666667
203,2007-12-31,14038437.0,0.3,15122203.63359565,29776839.0,1.0,15122203.63359565,12,31,delta_basin,0.26666666666666666,1076353.0051099332,0.3
204,2008-01-31,14426796.0,0.33333333333333337,19171974.28002097,29776839.0,1.0,19171974.28002097,1,31,delta_basin,0.3,4737559.561086433,0.6
205,2008-02-29,16070046.0,0.3,24745202.90716231,29776839.0,1.0,24745202.90716231,2,29,delta_basin,0.43333333333333335,8666670.396107525,0.7666666666666667
206,2008-03-31,17767308.0,0.26666666666666666,27601716.244308252,29776839.0,1.0,27601716.244308252,3,31,delta_basin,0.46666666666666673,9825025.417665709,0.7333333333333334
207,2008-04-30,18567030.0,0.2,25727544.771748282,29776839.0,1.0,25727544.771748282,4,30,delta_basin,0.33333333333333337,7150709.615910554,0.6333333333333334
208,2008-05-31,18644499.0,0.16666666666666669,20268090.801550977,29776839.0,1.0,20268090.801550977,5,31,delta_basin,0.16666666666666669,1613745.73472115,0.46666666666666673
209,2008-06-30,18788184.0,0.16666666666666669,18862144.617967747,29776839.0,1.0,18862144.617967747,6,30,delta_basin,0.16666666666666669,64038.67180684119,0.5
